From,TO_CORREGIDO,CANT_EMAIL
Varja.Lagos@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1
Brand.Tempestad@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1
Isak.Baza@gastech.com.kronos,Isak.Baza@gastech.com.kronos,16
Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,11
Linnea.Bergen@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,4
Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,3
Lucas.Alcazar@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,4
Sten.Sanjorge Jr.@gastech.com.tethys,Orhan.Strum@gastech.com.kronos,6
Mat.Bramar@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,18
Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,2
Axel.Calzas@gastech.com.kronos,Felix.Balas@gastech.com.kronos,2
Lars.Azada@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,2
Stenig.Fusil@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,1
Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,1
Albina.Hafon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,2
Nils.Calixto@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,13
Felix.Balas@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,3
Loreto.Bodrogi@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,1
Willem.Vasco-Pais@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,5
Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,2
Orhan.Strum@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,3
Benito.Hawelon@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,1
Felix.Resumir@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,1
Bertrand.Ovan@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,21
Birgitta.Frente@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,1
Carla.Forluniau@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,19
Anda.Ribera@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,13
Claudio.Hawelon@gastech.com.kronos,Irene.Nant@gastech.com.kronos,2
Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,2
Cornelia.Lais@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,20
Valeria.Morlun@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,1
Cecilia.Morluniau@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,2
Adan.Morlun@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,2
Varro.Awelon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,1
Dante.Coginian@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,2
Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1
Axel.Calzas@gastech.com.kronos,Lars.Azada@gastech.com.kronos,2
Dante.Coginian@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,1
Benito.Hawelon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,3
Vira.Frente@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,2
Ruscella.Mies.Haber@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,14
Kanon.Herrero@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,2
Kanon.Herrero@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,3
Sven.Flecha@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,14
Claudio.Hawelon@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,2
Ingrid.Barranco@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,1
Mat.Bramar@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,19
Ruscella.Mies.Haber@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,10
Lucas.Alcazar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,1
Adra.Nubarron@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,2
Lars.Azada@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,4
Adan.Morlun@gastech.com.kronos,Irene.Nant@gastech.com.kronos,4
Nils.Calixto@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,2
Dylan.Scozzese@gastech.com.kronos,Irene.Nant@gastech.com.kronos,7
Rachel.Pantanal@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,1
Irene.Nant@gastech.com.kronos,Irene.Nant@gastech.com.kronos,3
Marin.Onda@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,1
Cecilia.Morluniau@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,2
Irene.Nant@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,3
Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,4
Ada.Campo-Corrente@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,2
Lucas.Alcazar@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,8
Lidelse.Dedos@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,2
Isia.Vann@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,8
Inga.Ferro@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,2
Carla.Forluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,1
Sven.Flecha@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,13
Nils.Calixto@gastech.com.kronos,Isak.Baza@gastech.com.kronos,3
Felix.Resumir@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,2
Felix.Balas@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,2
